a,curr,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
0,ATL,Dallas Mavericks,W,113,87,1,0,W 1
1,ATL,Cleveland Cavaliers,L,95,101,1,1,L 1
2,ATL,Detroit Pistons,W,122,104,2,1,W 1
3,ATL,New Orleans Pelicans,W,102,99,3,1,W 2
4,ATL,Washington Wizards,L,111,122,3,2,L 1
5,ATL,Philadelphia 76ers,L,94,122,3,3,L 2
6,ATL,Washington Wizards,W,118,111,4,3,W 1
7,ATL,Brooklyn Nets,L,108,117,4,4,L 1
8,ATL,Utah Jazz,L,98,116,4,5,L 2
9,ATL,Phoenix Suns,L,117,121,4,6,L 3
10,ATL,Golden State Warriors,L,113,127,4,7,L 4
11,ATL,Utah Jazz,L,98,110,4,8,L 5
12,ATL,Denver Nuggets,L,96,105,4,9,L 6
13,ATL,Milwaukee Bucks,W,120,100,5,9,W 1
14,ATL,Orlando Magic,W,129,111,6,9,W 2
15,ATL,Boston Celtics,W,110,99,7,9,W 3
16,ATL,Charlotte Hornets,W,115,105,8,9,W 4
17,ATL,Oklahoma City Thunder,W,113,101,9,9,W 5
18,ATL,San Antonio Spurs,W,124,106,10,9,W 6
19,ATL,Memphis Grizzlies,W,132,100,11,9,W 7
20,ATL,New York Knicks,L,90,99,11,10,L 1
21,ATL,Indiana Pacers,W,114,111,12,10,W 1
22,ATL,Philadelphia 76ers,L,96,98,12,11,L 1
23,ATL,Charlotte Hornets,L,127,130,12,12,L 2
24,ATL,Minnesota Timberwolves,W,121,110,13,12,W 1
25,ATL,Brooklyn Nets,L,105,113,13,13,L 1
26,ATL,Houston Rockets,L,126,132,13,14,L 2
27,ATL,Orlando Magic,W,111,99,14,14,W 1
28,ATL,Denver Nuggets,L,115,133,14,15,L 1
29,ATL,Orlando Magic,L,98,104,14,16,L 2
30,ATL,Philadelphia 76ers,W,98,96,15,16,W 1
31,ATL,New York Knicks,L,87,101,15,17,L 1
32,ATL,Chicago Bulls,L,118,130,15,18,L 2
33,ATL,Chicago Bulls,L,117,131,15,19,L 3
34,ATL,Cleveland Cavaliers,W,121,118,16,19,W 1
35,ATL,Portland Trail Blazers,L,131,136,16,20,L 1
36,ATL,Sacramento Kings,W,108,102,17,20,W 1
37,ATL,Los Angeles Lakers,L,118,134,17,21,L 1
38,ATL,Los Angeles Clippers,L,93,106,17,22,L 2
39,ATL,Miami Heat,L,91,115,17,23,L 3
40,ATL,Miami Heat,L,118,124,17,24,L 4
41,ATL,New York Knicks,L,108,117,17,25,L 5
42,ATL,Milwaukee Bucks,W,121,114,18,25,W 1
43,ATL,Minnesota Timberwolves,W,134,122,19,25,W 2
44,ATL,Miami Heat,W,110,108,20,25,W 3
45,ATL,Charlotte Hornets,W,113,91,21,25,W 4
46,ATL,Sacramento Kings,W,121,104,22,25,W 5
47,ATL,Boston Celtics,W,108,92,23,25,W 6
48,ATL,Los Angeles Lakers,W,129,121,24,25,W 7
49,ATL,Toronto Raptors,L,100,106,24,26,L 1
50,ATL,Phoenix Suns,W,124,115,25,26,W 1
51,ATL,Toronto Raptors,L,114,125,25,27,L 1
52,ATL,Dallas Mavericks,L,94,103,25,28,L 2
53,ATL,Indiana Pacers,W,133,112,26,28,W 1
54,ATL,San Antonio Spurs,L,121,136,26,29,L 1
55,ATL,Boston Celtics,L,95,105,26,30,L 2
56,ATL,Cleveland Cavaliers,W,124,116,27,30,W 1
57,ATL,Orlando Magic,W,130,109,28,30,W 2
58,ATL,Chicago Bulls,L,108,112,28,31,L 1
59,ATL,Toronto Raptors,W,127,100,29,31,W 1
60,ATL,Boston Celtics,L,98,107,29,32,L 1
61,ATL,Chicago Bulls,W,130,124,30,32,W 1
62,ATL,Washington Wizards,W,117,114,31,32,W 2
63,ATL,Detroit Pistons,L,110,113,31,33,L 1
64,ATL,Milwaukee Bucks,L,115,124,31,34,L 2
65,ATL,Los Angeles Clippers,W,112,106,32,34,W 1
66,ATL,Indiana Pacers,W,131,128,33,34,W 2
67,ATL,Portland Trail Blazers,W,122,113,34,34,W 3
68,ATL,Charlotte Hornets,L,106,116,34,35,L 1
69,ATL,Memphis Grizzlies,W,120,105,35,35,W 1
70,ATL,New Orleans Pelicans,L,112,117,35,36,L 1
71,ATL,New York Knicks,W,117,111,36,36,W 1
72,ATL,Detroit Pistons,L,101,122,36,37,L 1
73,ATL,Golden State Warriors,W,121,110,37,37,W 1
74,ATL,Indiana Pacers,W,132,123,38,37,W 2
75,ATL,Oklahoma City Thunder,W,136,118,39,37,W 3
76,ATL,Cleveland Cavaliers,W,131,107,40,37,W 4
77,ATL,Brooklyn Nets,W,122,115,41,37,W 5
78,ATL,Toronto Raptors,L,108,118,41,38,L 1
79,ATL,Washington Wizards,W,118,103,42,38,W 1
80,ATL,Miami Heat,L,109,113,42,39,L 1
81,ATL,Houston Rockets,W,130,114,43,39,W 1
82,ATL,Charlotte Hornets,W,132,103,44,39,W 2
83,ATL,Cleveland Cavaliers,W,107,101,45,39,W 3
84,BRK,Milwaukee Bucks,L,104,127,0,1,L 1
85,BRK,Philadelphia 76ers,W,114,109,1,1,W 1
86,BRK,Charlotte Hornets,L,95,111,1,2,L 1
87,BRK,Washington Wizards,W,104,90,2,2,W 1
88,BRK,Miami Heat,L,93,106,2,3,L 1
89,BRK,Indiana Pacers,W,105,98,3,3,W 1
90,BRK,Detroit Pistons,W,117,91,4,3,W 2
91,BRK,Atlanta Hawks,W,117,108,5,3,W 3
92,BRK,Detroit Pistons,W,96,90,6,3,W 4
93,BRK,Toronto Raptors,W,116,103,7,3,W 5
94,BRK,Chicago Bulls,L,95,118,7,4,L 1
95,BRK,Orlando Magic,W,123,90,8,4,W 1
96,BRK,New Orleans Pelicans,W,120,112,9,4,W 2
97,BRK,Oklahoma City Thunder,W,120,96,10,4,W 3
98,BRK,Golden State Warriors,L,99,117,10,5,L 1
99,BRK,Cleveland Cavaliers,W,109,99,11,5,W 1
100,BRK,Orlando Magic,W,115,113,12,5,W 2
101,BRK,Cleveland Cavaliers,W,117,112,13,5,W 3
102,BRK,Boston Celtics,W,123,104,14,5,W 4
103,BRK,Phoenix Suns,L,107,113,14,6,L 1
104,BRK,New York Knicks,W,112,110,15,6,W 1
105,BRK,Minnesota Timberwolves,W,110,105,16,6,W 2
106,BRK,Chicago Bulls,L,107,111,16,7,L 1
